track_id,frame_id,label,X,Y,Z,img_name,x,y,r,xrep,yrep,error,R3D
0,145,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,331.901,810.867,NULL,0.54922
0,92,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,320.754,832.364,NULL,0.54922
0,107,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,298.232,843.346,NULL,0.54922
0,74,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,336.238,843.114,NULL,0.54922
0,93,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,319.902,831.972,NULL,0.54922
0,97,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,312.207,830.68,NULL,0.54922
0,94,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,319.804,831.668,NULL,0.54922
0,98,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,308.868,830.931,NULL,0.54922
0,95,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,317.988,832.55,NULL,0.54922
0,103,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,302.261,832.109,NULL,0.54922
0,96,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,316.083,831.815,NULL,0.54922
0,102,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,303.899,831.304,NULL,0.54922
0,78,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.555,845.155,NULL,0.54922
0,99,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,305.353,831.694,NULL,0.54922
0,117,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,319.84,837.269,NULL,0.54922
0,100,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,303.944,832.442,NULL,0.54922
0,105,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,300.616,835.617,NULL,0.54922
0,64,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_64.png,311.54,891.143,21.2591,311.584,886.907,4.23625,0.54922
0,127,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.816,810.823,NULL,0.54922
0,101,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,304.423,832.176,NULL,0.54922
0,104,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,302.127,832.875,NULL,0.54922
0,118,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.292,834.765,NULL,0.54922
0,136,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.2,811.978,NULL,0.54922
0,108,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,296.511,846.99,NULL,0.54922
0,124,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.866,819.7,NULL,0.54922
0,143,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.685,810.095,NULL,0.54922
0,111,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,300.641,841.46,NULL,0.54922
0,106,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,299.649,839.504,NULL,0.54922
0,59,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_59.png,322.434,929.564,21.1197,323.749,924.215,5.50789,0.54922
0,85,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.95,845.127,NULL,0.54922
0,110,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,298.534,844.468,NULL,0.54922
0,109,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,296.706,847.995,NULL,0.54922
0,119,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.941,830.265,NULL,0.54922
0,120,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.241,826.099,NULL,0.54922
0,133,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.564,815,NULL,0.54922
0,112,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,303.994,840.389,NULL,0.54922
0,113,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,306.772,840.381,NULL,0.54922
0,73,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,335.01,845.855,NULL,0.54922
0,87,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.487,837.063,NULL,0.54922
0,130,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,327.199,805.823,NULL,0.54922
0,148,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.76,814.897,NULL,0.54922
0,121,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.998,824.005,NULL,0.54922
0,142,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.636,811.818,NULL,0.54922
0,137,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,327.596,808.418,NULL,0.54922
0,114,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,308.734,840.517,NULL,0.54922
0,115,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,314.272,840.473,NULL,0.54922
0,116,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,317.661,838.676,NULL,0.54922
0,122,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.931,823.97,NULL,0.54922
0,129,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,327.469,805.276,NULL,0.54922
0,65,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_65.png,313.249,885.115,19.941,314.533,880.382,4.90338,0.54922
0,12,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_12.png,344.127,758.802,20.2812,345.297,761.433,2.87924,0.54922
0,123,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.479,821.715,NULL,0.54922
0,35,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_35.png,332.47,845.675,20.2353,333.649,843.559,2.42247,0.54922
